fips_full,year,CDD_1mm_Wweek_in_gs_1.0,CDD_1mm_Wweek_in_gs_2.0,CDD_1mm_Wweek_in_gs_3.0,CDD_1mm_Wweek_in_gs_4.0,CDD_1mm_Wweek_in_gs_5.0,CDD_1mm_Wweek_in_gs_6.0,CDD_1mm_Wweek_in_gs_7.0,CDD_1mm_Wweek_in_gs_8.0,CDD_1mm_Wweek_in_gs_9.0,CDD_1mm_Wweek_in_gs_10.0,CDD_1mm_Wweek_in_gs_11.0,CDD_1mm_Wweek_in_gs_12.0,CDD_1mm_Wweek_in_gs_13.0,CDD_1mm_Wweek_in_gs_14.0,CDD_1mm_Wweek_in_gs_15.0,CDD_1mm_Wweek_in_gs_16.0,CDD_1mm_Wweek_in_gs_17.0,CDD_1mm_Wweek_in_gs_18.0,CDD_1mm_Wweek_in_gs_19.0,CDD_1mm_Wweek_in_gs_20.0,CDD_1mm_Wweek_in_gs_21.0,CDD_1mm_Wweek_in_gs_22.0,CDD_1mm_Wweek_in_gs_23.0,CDD_1mm_Wweek_in_gs_24.0,CDD_1mm_Wweek_in_gs_25.0,CDD_1mm_Wweek_in_gs_26.0,CDD_1mm_Wweek_in_gs_27.0,CDD_2mm_Wweek_in_gs_1.0,CDD_2mm_Wweek_in_gs_2.0,CDD_2mm_Wweek_in_gs_3.0,CDD_2mm_Wweek_in_gs_4.0,CDD_2mm_Wweek_in_gs_5.0,CDD_2mm_Wweek_in_gs_6.0,CDD_2mm_Wweek_in_gs_7.0,CDD_2mm_Wweek_in_gs_8.0,CDD_2mm_Wweek_in_gs_9.0,CDD_2mm_Wweek_in_gs_10.0,CDD_2mm_Wweek_in_gs_11.0,CDD_2mm_Wweek_in_gs_12.0,CDD_2mm_Wweek_in_gs_13.0,CDD_2mm_Wweek_in_gs_14.0,CDD_2mm_Wweek_in_gs_15.0,CDD_2mm_Wweek_in_gs_16.0,CDD_2mm_Wweek_in_gs_17.0,CDD_2mm_Wweek_in_gs_18.0,CDD_2mm_Wweek_in_gs_19.0,CDD_2mm_Wweek_in_gs_20.0,CDD_2mm_Wweek_in_gs_21.0,CDD_2mm_Wweek_in_gs_22.0,CDD_2mm_Wweek_in_gs_23.0,CDD_2mm_Wweek_in_gs_24.0,CDD_2mm_Wweek_in_gs_25.0,CDD_2mm_Wweek_in_gs_26.0,CDD_2mm_Wweek_in_gs_27.0
17001,1968,5,6,5,5,7,5,5,3,5,7,3,7,5,6,7,5,2,4,5,6,7,5,5,6,2,5,1,5,6,5,6,7,5,6,3,5,7,4,7,5,6,7,5,2,4,5,7,7,5,6,6,2,5,1
17001,1969,3,5,2,5,7,3,4,6,3,6,6,4,2,1,3,5,6,7,5,6,6,7,3,6,5,5,1,5,5,3,5,7,3,6,6,3,7,6,4,2,1,3,5,6,7,6,6,6,7,4,6,5,5,1
17001,1970,5,6,3,6,5,6,3,6,3,4,3,4,7,6,7,5,7,2,2,5,4,7,3,2,3,4,1,5,6,4,6,5,6,3,6,3,5,4,4,7,6,7,5,7,3,2,5,4,7,4,3,3,4,1
17001,1971,6,6,6,5,6,2,7,4,5,6,2,7,7,6,2,5,5,5,5,6,4,7,5,5,5,5,1,7,7,6,6,7,2,7,4,6,7,2,7,7,6,3,5,5,5,5,6,4,7,5,5,5,5,1
17001,1972,6,5,4,5,4,6,4,6,5,7,3,6,6,6,7,3,6,4,4,6,5,6,3,5,6,4,1,7,6,4,5,4,6,5,7,5,7,3,6,6,6,7,4,6,4,4,7,5,6,4,5,6,4,1
17001,1973,5,5,3,6,5,4,7,4,4,4,6,4,4,5,6,4,2,4,4,5,5,7,4,5,5,4,1,5,5,3,6,5,4,7,5,4,4,6,5,4,5,6,5,3,4,5,5,7,7,5,5,5,4,1
17001,1974,5,3,5,5,4,3,2,3,2,2,5,4,7,6,7,4,5,4,5,6,6,4,5,5,7,5,1,6,3,5,6,4,5,2,5,3,2,5,4,7,6,7,4,5,5,5,6,6,4,5,5,7,5,1
17001,1975,5,4,4,4,7,4,6,3,3,6,5,4,3,6,4,6,6,5,6,2,5,4,6,4,4,6,1,5,5,5,5,7,4,6,4,3,6,5,4,4,6,5,6,6,6,6,3,6,4,6,5,4,6,1
17001,1976,7,7,4,3,7,5,2,7,5,6,5,7,5,6,7,6,5,6,4,3,7,7,7,6,6,6,1,7,7,4,3,7,5,2,7,5,6,5,7,5,6,7,7,6,6,4,4,7,7,7,6,7,6,1
17001,1977,4,7,5,5,3,5,7,6,6,6,5,5,3,6,3,6,4,4,0,4,4,4,5,3,4,6,1,5,7,5,5,4,5,7,7,7,6,6,6,3,6,3,6,4,4,0,4,4,4,6,3,4,6,1
17001,1978,5,4,2,5,3,3,5,4,4,5,5,4,5,5,4,5,5,5,6,5,6,4,7,6,1,7,0,5,4,3,6,5,4,5,6,4,6,6,4,5,5,4,5,5,6,6,6,7,4,7,6,2,7,0
17001,1979,5,4,4,4,5,5,7,7,6,4,5,6,5,6,7,6,3,2,6,6,4,5,6,7,7,7,1,5,4,5,4,6,5,7,7,6,5,5,7,5,6,7,6,3,3,6,6,4,5,7,7,7,7,1
17001,1980,5,3,5,7,7,5,4,6,3,4,4,7,6,2,6,5,4,6,3,3,6,5,2,5,5,7,1,6,3,6,7,7,5,4,6,4,4,4,7,6,2,7,5,6,7,3,4,6,5,3,5,5,7,1
17001,1981,6,1,5,5,5,5,3,5,3,5,3,4,4,4,6,3,1,6,3,6,6,3,6,6,7,5,1,6,2,5,6,6,5,4,5,4,6,3,4,4,5,6,3,1,6,5,6,6,3,6,6,7,5,1
17001,1982,4,5,4,6,7,5,0,5,2,2,3,5,2,3,4,3,6,7,1,5,4,4,4,5,6,7,1,4,5,4,6,7,5,2,5,2,4,4,5,4,4,4,3,7,7,3,5,6,4,5,5,6,7,1
17001,1983,2,3,6,6,4,5,3,3,3,4,5,6,4,6,7,7,5,5,5,7,5,5,6,4,4,4,1,2,3,6,6,4,5,3,4,5,6,7,6,5,6,7,7,7,5,6,7,5,6,7,4,4,6,1
17001,1984,4,3,4,5,2,5,6,3,5,3,4,5,5,4,5,5,4,7,6,6,6,5,5,2,7,3,1,5,4,5,5,3,6,6,4,6,3,5,6,5,4,5,5,4,7,7,6,6,7,6,2,7,3,1
17001,1985,5,5,7,3,5,5,5,7,3,5,4,5,6,6,5,4,4,4,4,4,3,5,7,7,4,3,0,5,7,7,5,5,5,5,7,3,5,4,5,6,7,6,4,4,4,5,4,3,6,7,7,4,4,0
17001,1986,5,5,3,6,5,2,1,6,5,4,4,7,5,3,1,6,5,6,4,6,7,6,6,5,2,2,0,5,6,5,6,6,4,3,6,5,4,5,7,5,5,1,6,5,6,5,6,7,6,6,5,2,2,0
17001,1987,7,4,6,7,6,7,5,4,3,6,6,4,4,3,4,6,7,4,6,3,4,4,5,5,5,6,1,7,5,6,7,6,7,5,4,4,6,6,4,5,3,4,6,7,4,6,3,5,4,5,6,5,6,1
17001,1988,4,6,7,7,7,6,6,5,7,6,7,7,6,7,6,4,7,7,3,7,4,5,7,7,3,7,0,4,7,7,7,7,6,7,5,7,6,7,7,6,7,6,5,7,7,4,7,4,5,7,7,4,7,0
17001,1989,4,6,4,4,5,6,5,2,6,5,5,6,6,7,6,3,5,5,7,5,3,2,5,3,7,6,1,5,6,6,5,6,6,6,2,6,5,6,6,6,7,6,4,5,5,7,5,4,2,5,3,7,7,1
17001,1990,6,3,2,6,4,4,1,4,7,4,5,3,5,6,2,4,4,5,7,5,5,6,6,7,3,6,0,7,3,4,6,5,4,3,4,7,4,5,3,5,7,3,5,5,5,7,5,5,6,7,7,3,6,1
17001,1991,6,4,3,6,4,7,3,4,4,6,6,6,7,6,3,7,6,7,3,5,6,5,5,5,4,6,1,6,4,3,6,4,7,3,4,4,6,6,6,7,6,3,7,6,7,4,6,7,6,5,5,5,7,1
17001,1992,7,5,1,5,6,6,5,5,7,4,6,5,7,6,2,1,4,5,5,6,7,5,3,5,3,6,1,7,5,2,6,7,6,6,5,7,4,6,5,7,6,2,1,4,5,5,6,7,5,3,5,5,6,1
17001,1993,6,4,2,6,2,3,5,5,4,3,7,4,4,4,2,3,2,5,5,6,5,5,3,4,5,2,1,6,4,3,6,3,3,5,5,4,3,7,4,4,4,2,4,3,6,6,6,5,6,3,4,5,2,1
17001,1994,5,3,5,4,4,4,5,5,6,3,5,6,4,4,5,5,7,5,6,6,6,4,6,7,6,3,1,5,4,5,4,4,4,5,5,6,4,6,6,4,4,5,5,7,5,6,6,7,4,6,7,6,6,1
17001,1995,6,2,4,5,4,4,1,5,4,4,6,7,3,4,7,4,2,3,2,5,7,7,5,6,5,7,0,7,2,4,5,4,5,2,5,4,4,6,7,4,4,7,4,3,3,2,5,7,7,5,6,5,7,0
17001,1996,7,7,6,5,3,1,6,2,3,3,5,5,6,7,7,4,6,7,5,5,4,7,6,6,6,4,1,7,7,6,5,4,1,6,3,4,4,5,5,6,7,7,4,6,7,5,5,4,7,6,6,6,4,1
17001,1997,5,5,5,7,4,6,4,5,5,4,3,7,5,4,7,5,5,6,6,2,5,5,5,7,6,5,1,5,5,5,7,4,6,6,6,5,4,4,7,5,6,7,5,5,6,6,4,5,6,5,7,6,5,1
17001,1998,4,3,4,5,2,3,5,2,7,3,2,3,5,5,5,6,6,3,4,7,7,4,7,5,5,4,0,5,3,6,5,3,4,6,2,7,3,2,3,5,5,5,6,6,3,5,7,7,5,7,5,5,4,0
17001,1999,5,6,3,3,5,6,2,6,5,6,3,6,3,6,7,6,4,6,6,5,5,7,7,6,6,4,1,5,6,3,3,6,6,3,6,6,6,3,7,4,6,7,6,4,6,6,5,5,7,7,6,6,5,1
17001,2000,7,5,4,5,7,4,6,5,6,5,3,3,3,3,5,6,5,4,3,6,4,7,7,5,5,3,1,7,5,4,5,7,4,7,7,6,6,3,4,3,4,5,6,7,4,4,6,4,7,7,5,6,3,1
17001,2001,4,3,5,5,6,4,4,3,2,4,6,5,7,6,5,4,5,6,6,6,4,5,5,5,4,5,1,5,3,5,6,6,4,4,4,3,4,6,5,7,6,7,4,5,6,6,6,4,5,6,5,4,6,1
17001,2002,6,4,5,3,6,2,3,5,5,6,3,7,6,7,5,5,5,5,6,3,3,7,7,6,4,7,1,6,4,5,3,6,2,3,5,6,6,3,7,6,7,5,5,5,5,6,4,3,7,7,6,4,7,1
17001,2003,4,7,5,4,2,4,6,5,6,4,3,7,6,6,5,5,6,5,6,5,7,2,6,5,5,6,1,4,7,5,4,4,4,7,6,6,4,5,7,6,6,5,5,6,5,6,5,7,2,6,5,5,6,1
17001,2004,7,7,5,6,2,5,3,4,3,7,2,5,6,2,4,6,6,4,6,7,2,3,7,7,6,7,1,7,7,5,6,4,6,3,5,4,7,2,6,6,2,4,6,6,4,6,7,2,3,7,7,6,7,1
17001,2005,6,5,6,3,6,5,5,7,6,5,3,7,7,6,5,7,6,7,6,4,4,4,7,4,4,3,1,6,5,6,4,7,5,5,7,6,5,3,7,7,6,5,7,6,7,6,4,4,5,7,5,4,4,1
17001,2006,3,7,6,5,2,6,3,6,3,6,5,5,4,4,3,7,3,6,4,5,5,3,6,4,5,6,1,3,7,6,6,3,6,5,7,3,7,5,6,7,4,3,7,3,6,4,5,6,3,6,5,6,7,1
17001,2007,5,4,6,4,4,6,6,5,1,4,7,4,4,7,5,3,6,7,4,5,2,7,5,6,7,6,1,5,4,6,4,4,6,6,5,4,4,7,4,4,7,5,4,6,7,4,5,2,7,5,6,7,6,1
17001,2008,5,1,6,3,5,3,6,2,5,3,4,5,2,6,3,6,2,5,6,7,5,6,2,2,7,6,0,5,3,6,4,6,4,6,2,6,3,4,7,2,6,3,6,3,6,6,7,5,6,2,2,7,6,0
17001,2009,4,3,5,5,4,5,3,5,4,3,3,2,6,5,5,5,6,4,4,3,4,5,6,7,5,4,1,5,3,5,5,5,5,3,5,5,4,3,3,6,5,6,5,6,4,4,5,4,6,6,7,5,4,1
17001,2010,3,7,7,1,4,4,2,5,4,3,3,1,5,5,5,3,5,5,6,5,6,6,5,4,4,5,1,4,7,7,1,4,4,2,5,5,3,4,2,5,5,5,3,5,5,6,6,6,6,6,5,4,5,1
17001,2011,6,4,3,4,6,5,3,3,4,4,3,2,4,6,5,7,6,5,6,6,6,6,6,4,4,6,1,6,4,4,4,7,5,4,3,5,5,3,3,4,6,5,7,6,5,6,7,7,6,6,5,6,6,1
17001,2012,5,6,4,5,0,6,7,7,5,7,4,6,7,5,6,6,5,5,5,6,7,4,3,6,6,4,1,6,6,5,6,1,6,7,7,5,7,4,6,7,7,6,7,5,5,5,6,7,4,3,6,6,4,1
17001,2013,7,4,2,5,4,4,7,4,2,7,4,7,4,6,5,7,5,4,6,7,7,7,6,5,5,6,1,7,4,2,5,5,5,7,4,2,7,4,7,4,7,6,7,5,5,7,7,7,7,6,5,5,6,1
17001,2014,5,6,6,4,5,5,4,7,4,5,4,3,5,5,5,7,4,6,2,5,4,4,5,4,5,7,1,5,6,7,4,6,5,5,7,4,5,5,3,6,5,5,7,5,6,2,5,5,5,5,5,6,7,1
17001,2015,4,4,5,5,6,4,4,3,3,4,1,1,3,5,2,3,3,6,3,6,5,7,7,5,6,7,0,5,4,5,5,6,4,4,3,3,5,1,2,3,5,2,3,3,7,4,6,5,7,7,5,6,7,1
17001,2016,4,5,4,4,4,3,4,6,4,7,7,5,5,2,2,5,3,5,6,3,3,2,6,4,5,7,1,6,6,4,4,5,3,4,6,4,7,7,5,7,3,2,6,3,6,6,5,5,2,6,5,6,7,1
17001,2017,3,6,6,5,2,5,6,2,6,7,5,4,5,5,4,6,3,6,4,6,6,5,7,7,6,7,1,4,6,6,5,3,6,6,3,6,7,5,4,5,6,4,7,4,7,4,6,6,6,7,7,6,7,1
17001,2018,4,5,5,7,5,6,4,5,6,6,4,4,5,6,7,4,7,5,5,3,3,5,4,6,6,6,0,5,5,6,7,5,6,4,5,7,6,6,4,5,6,7,5,7,5,5,4,3,5,4,6,6,6,0
17001,2019,4,4,5,3,2,3,4,1,2,6,4,4,4,4,7,3,6,6,6,3,5,4,6,4,5,4,0,6,5,5,3,2,3,5,2,4,6,4,4,6,5,7,5,6,6,6,3,5,5,6,7,6,4,0
17001,2020,6,4,6,3,4,5,3,4,4,4,5,3,4,4,6,5,4,5,5,7,7,7,5,3,7,5,1,6,5,6,3,4,5,3,5,4,5,5,3,4,4,7,6,4,5,5,7,7,7,5,3,7,6,1
17001,2021,7,3,4,5,4,5,2,4,5,6,7,3,1,6,2,5,6,4,6,5,6,4,5,7,6,6,1,7,3,5,7,5,6,3,5,5,6,7,4,1,6,2,5,6,4,6,6,6,6,6,7,6,7,1
17001,2022,5,4,4,5,3,6,4,3,4,5,5,5,6,5,5,4,5,6,5,6,5,6,5,5,4,6,1,6,5,4,6,3,6,5,3,4,5,5,6,6,5,5,4,5,7,6,6,5,6,6,6,4,6,1
17001,2023,5,7,5,7,6,4,4,6,7,6,5,6,5,3,5,6,7,5,3,5,7,5,6,6,6,6,1,5,7,5,7,6,4,4,7,7,7,5,6,5,3,6,6,7,5,3,5,7,5,7,6,6,7,1
17001,2024,3,7,5,3,5,4,4,5,2,5,6,6,4,4,3,5,5,3,7,4,7,5,7,7,6,4,1,4,7,5,4,5,5,4,5,4,5,6,6,5,4,3,5,5,3,7,4,7,5,7,7,6,4,1
17003,1951,3,2,6,6,5,6,7,4,6,2,4,3,3,3,2,7,5,7,4,7,6,5,3,4,6,5,1,3,3,6,6,6,6,7,4,6,2,5,3,3,5,3,7,5,7,5,7,6,5,6,5,6,5,1
17003,1952,4,4,6,4,7,5,5,2,7,6,6,6,7,5,4,4,7,4,6,3,7,6,6,6,4,7,1,5,4,7,4,7,5,5,3,7,6,6,6,7,5,4,4,7,5,6,5,7,7,6,6,4,7,1
17003,1953,4,5,4,5,3,4,0,7,7,7,6,7,5,7,7,5,6,7,5,7,7,7,6,7,6,7,1,5,6,4,5,3,4,0,7,7,7,6,7,6,7,7,5,6,7,5,7,7,7,6,7,6,7,1
17003,1954,5,5,5,5,3,6,7,5,3,4,5,6,7,7,6,6,5,5,5,6,4,5,5,7,4,7,0,5,5,5,5,4,6,7,6,4,4,5,6,7,7,6,7,5,5,6,7,5,6,5,7,4,7,0
17003,1955,5,3,6,5,7,4,4,5,4,3,4,5,6,6,5,1,7,7,4,6,7,6,7,6,7,4,0,5,4,6,5,7,5,5,5,4,3,4,5,6,6,5,1,7,7,4,6,7,6,7,6,7,4,0
17003,1956,3,5,5,5,4,5,4,5,5,7,3,3,4,5,4,4,4,7,4,7,4,5,7,7,4,5,1,4,5,5,7,5,6,4,6,5,7,4,4,4,6,5,4,4,7,4,7,6,5,7,7,4,5,1
17003,1957,2,6,3,0,5,4,2,1,5,3,4,4,3,4,7,4,4,4,7,4,5,7,5,4,4,6,1,2,6,3,2,5,5,2,2,5,3,4,5,3,4,7,5,4,4,7,4,6,7,5,5,4,7,1
17003,1958,4,6,5,0,2,2,5,6,5,6,4,4,5,5,3,2,5,3,6,4,5,7,4,5,3,6,0,5,6,5,1,2,3,6,6,5,6,4,4,5,5,4,2,5,3,7,4,5,7,5,5,3,6,0
17003,1959,6,6,5,6,7,4,4,3,4,6,3,6,4,5,7,4,0,7,4,4,6,4,5,5,7,3,1,6,6,5,6,7,4,4,3,5,6,5,6,4,6,7,5,0,7,5,5,7,4,6,6,7,3,1
17003,1960,7,7,4,6,4,5,5,3,4,7,5,7,3,5,5,7,3,6,3,7,4,7,7,4,6,5,1,7,7,4,6,4,5,6,4,6,7,5,7,3,6,5,7,3,6,4,7,4,7,7,4,7,5,1
17003,1961,4,3,4,5,5,3,5,4,7,3,3,7,7,5,5,1,3,7,4,6,4,6,6,6,7,7,1,4,4,4,5,5,3,5,4,7,3,4,7,7,5,5,2,3,7,5,6,4,6,6,6,7,7,1
17003,1962,6,5,6,5,5,6,7,5,3,3,4,4,4,4,6,6,7,5,6,7,5,3,4,3,6,6,1,7,5,7,5,5,6,7,5,4,4,4,4,4,4,6,6,7,5,6,7,5,3,4,3,6,6,1
17003,1963,7,7,6,5,5,5,5,4,6,7,4,5,6,6,5,5,6,5,5,6,5,6,6,4,7,7,1,7,7,6,6,5,5,5,4,6,7,4,5,6,6,5,5,6,5,5,6,5,6,6,4,7,7,1
17003,1964,4,5,6,2,7,4,6,5,4,6,4,5,6,4,5,7,6,6,6,5,5,4,7,7,2,4,1,4,5,7,3,7,4,6,5,4,6,4,5,6,5,5,7,6,6,7,5,5,4,7,7,2,4,1
17003,1965,3,6,5,6,7,5,4,5,3,2,5,6,5,3,6,6,7,7,5,7,3,5,6,3,5,6,0,3,6,5,6,7,5,5,5,5,2,6,6,5,4,6,6,7,7,5,7,3,5,6,3,5,6,0
17003,1966,7,2,4,2,4,5,4,6,7,5,5,7,6,6,7,6,5,4,5,2,5,7,6,6,5,5,1,7,4,4,2,4,5,4,6,7,5,5,7,6,6,7,6,5,4,5,2,5,7,6,6,5,5,1
17003,1967,7,4,6,2,4,4,2,7,4,7,6,5,1,6,6,7,3,2,5,7,7,4,6,6,3,5,1,7,4,6,3,4,4,4,7,5,7,6,5,1,6,6,7,3,4,5,7,7,6,6,6,5,5,1
17003,1968,4,6,2,5,7,3,3,3,5,7,6,6,5,6,6,5,4,5,6,4,7,6,5,6,4,5,1,4,6,2,6,7,3,5,3,5,7,7,6,5,6,6,5,4,5,6,5,7,6,5,6,4,5,1
17003,1969,3,4,5,6,7,4,4,7,6,7,4,4,6,3,5,5,3,7,6,5,5,7,1,7,6,5,1,4,4,5,6,7,4,4,7,7,7,4,5,6,3,5,6,3,7,6,6,5,7,1,7,7,6,1
17003,1970,6,6,4,3,6,4,6,7,3,3,4,4,6,6,6,5,6,6,0,7,5,7,5,5,4,4,1,6,6,4,4,6,4,6,7,3,3,4,4,6,6,6,5,7,6,1,7,6,7,5,5,4,4,1
17003,1971,4,6,6,4,6,2,6,5,5,5,5,5,7,5,5,4,5,3,4,7,6,5,3,7,6,6,1,4,6,7,5,6,2,6,5,5,5,5,5,7,5,5,4,5,3,5,7,6,6,4,7,6,6,1
17003,1972,5,3,3,6,4,6,6,6,5,7,5,6,4,3,7,5,4,5,5,5,4,6,5,6,4,1,0,5,3,3,6,4,6,6,7,5,7,5,7,4,4,7,5,4,5,6,5,4,6,5,6,4,1,0
17003,1973,5,5,1,2,5,2,6,4,2,4,3,4,6,6,4,6,4,6,6,5,7,6,4,5,6,3,1,6,5,1,3,5,3,6,5,3,4,3,4,6,7,4,6,4,6,6,5,7,6,4,5,6,3,1
17003,1974,4,4,6,6,2,3,5,4,5,2,6,5,7,6,6,7,5,6,5,0,5,3,5,3,6,5,1,5,5,6,6,3,5,5,5,5,2,6,5,7,6,6,7,5,6,5,0,6,4,6,3,6,6,1
17003,1975,7,4,5,4,5,3,7,5,2,6,4,5,6,4,4,4,5,3,6,2,7,5,6,5,4,6,1,7,5,6,4,5,3,7,5,2,6,4,6,6,5,5,5,6,3,6,2,7,5,6,5,5,6,1
17003,1976,7,6,4,6,5,6,2,7,2,4,6,5,3,5,5,6,6,3,7,5,7,6,7,5,7,5,1,7,7,5,6,6,6,2,7,2,4,6,5,3,5,7,6,6,3,7,5,7,7,7,6,7,5,1
17003,1977,3,7,4,3,3,6,7,4,5,7,7,2,1,6,3,7,4,4,4,2,7,5,6,4,6,3,0,3,7,5,5,3,6,7,4,5,7,7,2,1,6,3,7,4,7,5,2,7,5,6,4,6,3,1
